Class,Subject,Book,Chapter,PDF URL,Book Index URL
Class VII,Social Science,Exploring Society India and Beyond Part-II,Prelims,https://ncert.nic.in/textbook/pdf/gees2ps.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 1,https://ncert.nic.in/textbook/pdf/gees201.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 2,https://ncert.nic.in/textbook/pdf/gees202.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 3,https://ncert.nic.in/textbook/pdf/gees203.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 4,https://ncert.nic.in/textbook/pdf/gees204.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 5,https://ncert.nic.in/textbook/pdf/gees205.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 6,https://ncert.nic.in/textbook/pdf/gees206.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 7,https://ncert.nic.in/textbook/pdf/gees207.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VII,Social Science,Exploring Society India and Beyond Part-II,Chapter 8,https://ncert.nic.in/textbook/pdf/gees208.pdf,https://ncert.nic.in/textbook.php?gees2=0-8
Class VIII,Science,Curiosity,Prelims,https://ncert.nic.in/textbook/pdf/hecu1ps.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 1,https://ncert.nic.in/textbook/pdf/hecu101.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 2,https://ncert.nic.in/textbook/pdf/hecu102.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 3,https://ncert.nic.in/textbook/pdf/hecu103.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 4,https://ncert.nic.in/textbook/pdf/hecu104.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 5,https://ncert.nic.in/textbook/pdf/hecu105.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 6,https://ncert.nic.in/textbook/pdf/hecu106.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 7,https://ncert.nic.in/textbook/pdf/hecu107.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 8,https://ncert.nic.in/textbook/pdf/hecu108.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 9,https://ncert.nic.in/textbook/pdf/hecu109.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 10,https://ncert.nic.in/textbook/pdf/hecu110.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 11,https://ncert.nic.in/textbook/pdf/hecu111.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 12,https://ncert.nic.in/textbook/pdf/hecu112.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Science,Curiosity,Chapter 13,https://ncert.nic.in/textbook/pdf/hecu113.pdf,https://ncert.nic.in/textbook.php?hecu1=0-13
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Prelims,https://ncert.nic.in/textbook/pdf/hees1ps.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 1,https://ncert.nic.in/textbook/pdf/hees101.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 2,https://ncert.nic.in/textbook/pdf/hees102.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 3,https://ncert.nic.in/textbook/pdf/hees103.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 4,https://ncert.nic.in/textbook/pdf/hees104.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 5,https://ncert.nic.in/textbook/pdf/hees105.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 6,https://ncert.nic.in/textbook/pdf/hees106.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class VIII,Social Science,Exploring Society India and Beyond Part-I,Chapter 7,https://ncert.nic.in/textbook/pdf/hees107.pdf,https://ncert.nic.in/textbook.php?hees1=0-7
Class IX,Science,Science,Prelims,https://ncert.nic.in/textbook/pdf/iesc1ps.pdf,https://ncert.nic.in/textbook.php?iesc1=0-12
